net,C,H,W,M,FH,FW,PH,PW,SH,SW,DH,DW,OH,OW,GEMM_M,GEMM_K,GEMM_N
googlenet,160,14,14,320,3,3,1,1,1,1,1,1,14,14,320,1440,196
googlenet,528,14,14,32,1,1,0,0,1,1,1,1,14,14,32,528,196
googlenet,32,14,14,128,3,3,1,1,1,1,1,1,14,14,128,288,196
googlenet,528,14,14,128,1,1,0,0,1,1,1,1,14,14,128,528,196
googlenet,832,7,7,256,1,1,0,0,1,1,1,1,7,7,256,832,49
googlenet,832,7,7,160,1,1,0,0,1,1,1,1,7,7,160,832,49
googlenet,160,7,7,320,3,3,1,1,1,1,1,1,7,7,320,1440,49
googlenet,832,7,7,32,1,1,0,0,1,1,1,1,7,7,32,832,49
googlenet,32,7,7,128,3,3,1,1,1,1,1,1,7,7,128,288,49
googlenet,832,7,7,128,1,1,0,0,1,1,1,1,7,7,128,832,49
googlenet,832,7,7,384,1,1,0,0,1,1,1,1,7,7,384,832,49
googlenet,832,7,7,192,1,1,0,0,1,1,1,1,7,7,192,832,49
googlenet,192,7,7,384,3,3,1,1,1,1,1,1,7,7,384,1728,49
googlenet,832,7,7,48,1,1,0,0,1,1,1,1,7,7,48,832,49
googlenet,48,7,7,128,3,3,1,1,1,1,1,1,7,7,128,432,49
googlenet,832,7,7,128,1,1,0,0,1,1,1,1,7,7,128,832,49
shufflenet_v2_x1_0,3,224,224,24,3,3,1,1,2,2,1,1,112,112,24,27,12544
shufflenet_v2_x1_0,24,56,56,24,3,3,1,1,2,2,1,1,28,28,24,216,784
shufflenet_v2_x1_0,24,28,28,58,1,1,0,0,1,1,1,1,28,28,58,24,784
shufflenet_v2_x1_0,24,56,56,58,1,1,0,0,1,1,1,1,56,56,58,24,3136
shufflenet_v2_x1_0,58,56,56,58,3,3,1,1,2,2,1,1,28,28,58,522,784
shufflenet_v2_x1_0,58,28,28,58,1,1,0,0,1,1,1,1,28,28,58,58,784
shufflenet_v2_x1_0,58,28,28,58,1,1,0,0,1,1,1,1,28,28,58,58,784
shufflenet_v2_x1_0,58,28,28,58,3,3,1,1,1,1,1,1,28,28,58,522,784
shufflenet_v2_x1_0,58,28,28,58,1,1,0,0,1,1,1,1,28,28,58,58,784
shufflenet_v2_x1_0,58,28,28,58,1,1,0,0,1,1,1,1,28,28,58,58,784
shufflenet_v2_x1_0,58,28,28,58,3,3,1,1,1,1,1,1,28,28,58,522,784
shufflenet_v2_x1_0,58,28,28,58,1,1,0,0,1,1,1,1,28,28,58,58,784
shufflenet_v2_x1_0,58,28,28,58,1,1,0,0,1,1,1,1,28,28,58,58,784
shufflenet_v2_x1_0,58,28,28,58,3,3,1,1,1,1,1,1,28,28,58,522,784
shufflenet_v2_x1_0,58,28,28,58,1,1,0,0,1,1,1,1,28,28,58,58,784
shufflenet_v2_x1_0,116,28,28,116,3,3,1,1,2,2,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,28,28,116,1,1,0,0,1,1,1,1,28,28,116,116,784
shufflenet_v2_x1_0,116,28,28,116,3,3,1,1,2,2,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,3,3,1,1,1,1,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,3,3,1,1,1,1,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,3,3,1,1,1,1,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,3,3,1,1,1,1,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,3,3,1,1,1,1,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,3,3,1,1,1,1,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,116,14,14,116,3,3,1,1,1,1,1,1,14,14,116,1044,196
shufflenet_v2_x1_0,116,14,14,116,1,1,0,0,1,1,1,1,14,14,116,116,196
shufflenet_v2_x1_0,232,14,14,232,3,3,1,1,2,2,1,1,7,7,232,2088,49
shufflenet_v2_x1_0,232,7,7,232,1,1,0,0,1,1,1,1,7,7,232,232,49
shufflenet_v2_x1_0,232,14,14,232,1,1,0,0,1,1,1,1,14,14,232,232,196
shufflenet_v2_x1_0,232,14,14,232,3,3,1,1,2,2,1,1,7,7,232,2088,49
shufflenet_v2_x1_0,232,7,7,232,1,1,0,0,1,1,1,1,7,7,232,232,49
shufflenet_v2_x1_0,232,7,7,232,1,1,0,0,1,1,1,1,7,7,232,232,49
shufflenet_v2_x1_0,232,7,7,232,3,3,1,1,1,1,1,1,7,7,232,2088,49
shufflenet_v2_x1_0,232,7,7,232,1,1,0,0,1,1,1,1,7,7,232,232,49
shufflenet_v2_x1_0,232,7,7,232,1,1,0,0,1,1,1,1,7,7,232,232,49
shufflenet_v2_x1_0,232,7,7,232,3,3,1,1,1,1,1,1,7,7,232,2088,49
shufflenet_v2_x1_0,232,7,7,232,1,1,0,0,1,1,1,1,7,7,232,232,49
shufflenet_v2_x1_0,232,7,7,232,1,1,0,0,1,1,1,1,7,7,232,232,49
shufflenet_v2_x1_0,232,7,7,232,3,3,1,1,1,1,1,1,7,7,232,2088,49
shufflenet_v2_x1_0,232,7,7,232,1,1,0,0,1,1,1,1,7,7,232,232,49
shufflenet_v2_x1_0,464,7,7,1024,1,1,0,0,1,1,1,1,7,7,1024,464,49
mobilenet_v2,3,224,224,32,3,3,1,1,2,2,1,1,112,112,32,27,12544
mobilenet_v2,32,112,112,32,3,3,1,1,1,1,1,1,112,112,32,288,12544
mobilenet_v2,32,112,112,16,1,1,0,0,1,1,1,1,112,112,16,32,12544
mobilenet_v2,16,112,112,96,1,1,0,0,1,1,1,1,112,112,96,16,12544
mobilenet_v2,96,112,112,96,3,3,1,1,2,2,1,1,56,56,96,864,3136
mobilenet_v2,96,56,56,24,1,1,0,0,1,1,1,1,56,56,24,96,3136
mobilenet_v2,24,56,56,144,1,1,0,0,1,1,1,1,56,56,144,24,3136
mobilenet_v2,144,56,56,144,3,3,1,1,1,1,1,1,56,56,144,1296,3136
mobilenet_v2,144,56,56,24,1,1,0,0,1,1,1,1,56,56,24,144,3136
mobilenet_v2,24,56,56,144,1,1,0,0,1,1,1,1,56,56,144,24,3136
mobilenet_v2,144,56,56,144,3,3,1,1,2,2,1,1,28,28,144,1296,784
mobilenet_v2,144,28,28,32,1,1,0,0,1,1,1,1,28,28,32,144,784
mobilenet_v2,32,28,28,192,1,1,0,0,1,1,1,1,28,28,192,32,784
mobilenet_v2,192,28,28,192,3,3,1,1,1,1,1,1,28,28,192,1728,784
mobilenet_v2,192,28,28,32,1,1,0,0,1,1,1,1,28,28,32,192,784
mobilenet_v2,32,28,28,192,1,1,0,0,1,1,1,1,28,28,192,32,784
mobilenet_v2,192,28,28,192,3,3,1,1,1,1,1,1,28,28,192,1728,784
mobilenet_v2,192,28,28,32,1,1,0,0,1,1,1,1,28,28,32,192,784
mobilenet_v2,32,28,28,192,1,1,0,0,1,1,1,1,28,28,192,32,784
mobilenet_v2,192,28,28,192,3,3,1,1,2,2,1,1,14,14,192,1728,196
mobilenet_v2,192,14,14,64,1,1,0,0,1,1,1,1,14,14,64,192,196
mobilenet_v2,64,14,14,384,1,1,0,0,1,1,1,1,14,14,384,64,196
mobilenet_v2,384,14,14,384,3,3,1,1,1,1,1,1,14,14,384,3456,196
mobilenet_v2,384,14,14,64,1,1,0,0,1,1,1,1,14,14,64,384,196
mobilenet_v2,64,14,14,384,1,1,0,0,1,1,1,1,14,14,384,64,196
mobilenet_v2,384,14,14,384,3,3,1,1,1,1,1,1,14,14,384,3456,196
mobilenet_v2,384,14,14,64,1,1,0,0,1,1,1,1,14,14,64,384,196
mobilenet_v2,64,14,14,384,1,1,0,0,1,1,1,1,14,14,384,64,196
mobilenet_v2,384,14,14,384,3,3,1,1,1,1,1,1,14,14,384,3456,196
mobilenet_v2,384,14,14,64,1,1,0,0,1,1,1,1,14,14,64,384,196
mobilenet_v2,64,14,14,384,1,1,0,0,1,1,1,1,14,14,384,64,196
mobilenet_v2,384,14,14,384,3,3,1,1,1,1,1,1,14,14,384,3456,196
mobilenet_v2,384,14,14,96,1,1,0,0,1,1,1,1,14,14,96,384,196
mobilenet_v2,96,14,14,576,1,1,0,0,1,1,1,1,14,14,576,96,196
mobilenet_v2,576,14,14,576,3,3,1,1,1,1,1,1,14,14,576,5184,196
mobilenet_v2,576,14,14,96,1,1,0,0,1,1,1,1,14,14,96,576,196
mobilenet_v2,96,14,14,576,1,1,0,0,1,1,1,1,14,14,576,96,196
mobilenet_v2,576,14,14,576,3,3,1,1,1,1,1,1,14,14,576,5184,196
mobilenet_v2,576,14,14,96,1,1,0,0,1,1,1,1,14,14,96,576,196
mobilenet_v2,96,14,14,576,1,1,0,0,1,1,1,1,14,14,576,96,196
mobilenet_v2,576,14,14,576,3,3,1,1,2,2,1,1,7,7,576,5184,49
mobilenet_v2,576,7,7,160,1,1,0,0,1,1,1,1,7,7,160,576,49
mobilenet_v2,160,7,7,960,1,1,0,0,1,1,1,1,7,7,960,160,49
mobilenet_v2,960,7,7,960,3,3,1,1,1,1,1,1,7,7,960,8640,49
mobilenet_v2,960,7,7,160,1,1,0,0,1,1,1,1,7,7,160,960,49
mobilenet_v2,160,7,7,960,1,1,0,0,1,1,1,1,7,7,960,160,49
mobilenet_v2,960,7,7,960,3,3,1,1,1,1,1,1,7,7,960,8640,49
mobilenet_v2,960,7,7,160,1,1,0,0,1,1,1,1,7,7,160,960,49
mobilenet_v2,160,7,7,960,1,1,0,0,1,1,1,1,7,7,960,160,49
mobilenet_v2,960,7,7,960,3,3,1,1,1,1,1,1,7,7,960,8640,49
mobilenet_v2,960,7,7,320,1,1,0,0,1,1,1,1,7,7,320,960,49
mobilenet_v2,320,7,7,1280,1,1,0,0,1,1,1,1,7,7,1280,320,49
mobilenet_v3_large,3,224,224,16,3,3,1,1,2,2,1,1,112,112,16,27,12544
mobilenet_v3_large,16,112,112,16,3,3,1,1,1,1,1,1,112,112,16,144,12544
mobilenet_v3_large,16,112,112,16,1,1,0,0,1,1,1,1,112,112,16,16,12544
mobilenet_v3_large,16,112,112,64,1,1,0,0,1,1,1,1,112,112,64,16,12544
mobilenet_v3_large,64,112,112,64,3,3,1,1,2,2,1,1,56,56,64,576,3136
mobilenet_v3_large,64,56,56,24,1,1,0,0,1,1,1,1,56,56,24,64,3136
mobilenet_v3_large,24,56,56,72,1,1,0,0,1,1,1,1,56,56,72,24,3136
mobilenet_v3_large,72,56,56,72,3,3,1,1,1,1,1,1,56,56,72,648,3136
mobilenet_v3_large,72,56,56,24,1,1,0,0,1,1,1,1,56,56,24,72,3136
mobilenet_v3_large,24,56,56,72,1,1,0,0,1,1,1,1,56,56,72,24,3136
mobilenet_v3_large,72,56,56,72,5,5,2,2,2,2,1,1,28,28,72,1800,784
mobilenet_v3_large,72,1,1,24,1,1,0,0,1,1,1,1,1,1,24,72,1
mobilenet_v3_large,24,1,1,72,1,1,0,0,1,1,1,1,1,1,72,24,1
mobilenet_v3_large,72,28,28,40,1,1,0,0,1,1,1,1,28,28,40,72,784
mobilenet_v3_large,40,28,28,120,1,1,0,0,1,1,1,1,28,28,120,40,784
mobilenet_v3_large,120,28,28,120,5,5,2,2,1,1,1,1,28,28,120,3000,784
mobilenet_v3_large,120,1,1,32,1,1,0,0,1,1,1,1,1,1,32,120,1
mobilenet_v3_large,32,1,1,120,1,1,0,0,1,1,1,1,1,1,120,32,1
mobilenet_v3_large,120,28,28,40,1,1,0,0,1,1,1,1,28,28,40,120,784
mobilenet_v3_large,40,28,28,120,1,1,0,0,1,1,1,1,28,28,120,40,784
mobilenet_v3_large,120,28,28,120,5,5,2,2,1,1,1,1,28,28,120,3000,784
mobilenet_v3_large,120,1,1,32,1,1,0,0,1,1,1,1,1,1,32,120,1
mobilenet_v3_large,32,1,1,120,1,1,0,0,1,1,1,1,1,1,120,32,1
mobilenet_v3_large,120,28,28,40,1,1,0,0,1,1,1,1,28,28,40,120,784
mobilenet_v3_large,40,28,28,240,1,1,0,0,1,1,1,1,28,28,240,40,784
mobilenet_v3_large,240,28,28,240,3,3,1,1,2,2,1,1,14,14,240,2160,196
mobilenet_v3_large,240,14,14,80,1,1,0,0,1,1,1,1,14,14,80,240,196
mobilenet_v3_large,80,14,14,200,1,1,0,0,1,1,1,1,14,14,200,80,196
mobilenet_v3_large,200,14,14,200,3,3,1,1,1,1,1,1,14,14,200,1800,196
mobilenet_v3_large,200,14,14,80,1,1,0,0,1,1,1,1,14,14,80,200,196
mobilenet_v3_large,80,14,14,184,1,1,0,0,1,1,1,1,14,14,184,80,196
mobilenet_v3_large,184,14,14,184,3,3,1,1,1,1,1,1,14,14,184,1656,196
mobilenet_v3_large,184,14,14,80,1,1,0,0,1,1,1,1,14,14,80,184,196
mobilenet_v3_large,80,14,14,184,1,1,0,0,1,1,1,1,14,14,184,80,196
mobilenet_v3_large,184,14,14,184,3,3,1,1,1,1,1,1,14,14,184,1656,196
mobilenet_v3_large,184,14,14,80,1,1,0,0,1,1,1,1,14,14,80,184,196
mobilenet_v3_large,80,14,14,480,1,1,0,0,1,1,1,1,14,14,480,80,196
mobilenet_v3_large,480,14,14,480,3,3,1,1,1,1,1,1,14,14,480,4320,196
mobilenet_v3_large,480,1,1,120,1,1,0,0,1,1,1,1,1,1,120,480,1
mobilenet_v3_large,120,1,1,480,1,1,0,0,1,1,1,1,1,1,480,120,1
mobilenet_v3_large,480,14,14,112,1,1,0,0,1,1,1,1,14,14,112,480,196
mobilenet_v3_large,112,14,14,672,1,1,0,0,1,1,1,1,14,14,672,112,196
mobilenet_v3_large,672,14,14,672,3,3,1,1,1,1,1,1,14,14,672,6048,196
mobilenet_v3_large,672,1,1,168,1,1,0,0,1,1,1,1,1,1,168,672,1
mobilenet_v3_large,168,1,1,672,1,1,0,0,1,1,1,1,1,1,672,168,1
mobilenet_v3_large,672,14,14,112,1,1,0,0,1,1,1,1,14,14,112,672,196
mobilenet_v3_large,112,14,14,672,1,1,0,0,1,1,1,1,14,14,672,112,196
mobilenet_v3_large,672,14,14,672,5,5,2,2,2,2,1,1,7,7,672,16800,49
mobilenet_v3_large,672,1,1,168,1,1,0,0,1,1,1,1,1,1,168,672,1
mobilenet_v3_large,168,1,1,672,1,1,0,0,1,1,1,1,1,1,672,168,1
mobilenet_v3_large,672,7,7,160,1,1,0,0,1,1,1,1,7,7,160,672,49
mobilenet_v3_large,160,7,7,960,1,1,0,0,1,1,1,1,7,7,960,160,49
mobilenet_v3_large,960,7,7,960,5,5,2,2,1,1,1,1,7,7,960,24000,49
mobilenet_v3_large,960,1,1,240,1,1,0,0,1,1,1,1,1,1,240,960,1
mobilenet_v3_large,240,1,1,960,1,1,0,0,1,1,1,1,1,1,960,240,1
mobilenet_v3_large,960,7,7,160,1,1,0,0,1,1,1,1,7,7,160,960,49
mobilenet_v3_large,160,7,7,960,1,1,0,0,1,1,1,1,7,7,960,160,49
mobilenet_v3_large,960,7,7,960,5,5,2,2,1,1,1,1,7,7,960,24000,49
mobilenet_v3_large,960,1,1,240,1,1,0,0,1,1,1,1,1,1,240,960,1
mobilenet_v3_large,240,1,1,960,1,1,0,0,1,1,1,1,1,1,960,240,1
mobilenet_v3_large,960,7,7,160,1,1,0,0,1,1,1,1,7,7,160,960,49
mobilenet_v3_large,160,7,7,960,1,1,0,0,1,1,1,1,7,7,960,160,49
mobilenet_v3_small,3,224,224,16,3,3,1,1,2,2,1,1,112,112,16,27,12544
mobilenet_v3_small,16,112,112,16,3,3,1,1,2,2,1,1,56,56,16,144,3136
mobilenet_v3_small,16,1,1,8,1,1,0,0,1,1,1,1,1,1,8,16,1
mobilenet_v3_small,8,1,1,16,1,1,0,0,1,1,1,1,1,1,16,8,1
mobilenet_v3_small,16,56,56,16,1,1,0,0,1,1,1,1,56,56,16,16,3136
mobilenet_v3_small,16,56,56,72,1,1,0,0,1,1,1,1,56,56,72,16,3136
mobilenet_v3_small,72,56,56,72,3,3,1,1,2,2,1,1,28,28,72,648,784
mobilenet_v3_small,72,28,28,24,1,1,0,0,1,1,1,1,28,28,24,72,784
mobilenet_v3_small,24,28,28,88,1,1,0,0,1,1,1,1,28,28,88,24,784
mobilenet_v3_small,88,28,28,88,3,3,1,1,1,1,1,1,28,28,88,792,784
mobilenet_v3_small,88,28,28,24,1,1,0,0,1,1,1,1,28,28,24,88,784
mobilenet_v3_small,24,28,28,96,1,1,0,0,1,1,1,1,28,28,96,24,784
mobilenet_v3_small,96,28,28,96,5,5,2,2,2,2,1,1,14,14,96,2400,196
mobilenet_v3_small,96,1,1,24,1,1,0,0,1,1,1,1,1,1,24,96,1
mobilenet_v3_small,24,1,1,96,1,1,0,0,1,1,1,1,1,1,96,24,1
mobilenet_v3_small,96,14,14,40,1,1,0,0,1,1,1,1,14,14,40,96,196
mobilenet_v3_small,40,14,14,240,1,1,0,0,1,1,1,1,14,14,240,40,196
mobilenet_v3_small,240,14,14,240,5,5,2,2,1,1,1,1,14,14,240,6000,196
mobilenet_v3_small,240,1,1,64,1,1,0,0,1,1,1,1,1,1,64,240,1
mobilenet_v3_small,64,1,1,240,1,1,0,0,1,1,1,1,1,1,240,64,1
mobilenet_v3_small,240,14,14,40,1,1,0,0,1,1,1,1,14,14,40,240,196
mobilenet_v3_small,40,14,14,240,1,1,0,0,1,1,1,1,14,14,240,40,196
mobilenet_v3_small,240,14,14,240,5,5,2,2,1,1,1,1,14,14,240,6000,196
mobilenet_v3_small,240,1,1,64,1,1,0,0,1,1,1,1,1,1,64,240,1
mobilenet_v3_small,64,1,1,240,1,1,0,0,1,1,1,1,1,1,240,64,1
mobilenet_v3_small,240,14,14,40,1,1,0,0,1,1,1,1,14,14,40,240,196
mobilenet_v3_small,40,14,14,120,1,1,0,0,1,1,1,1,14,14,120,40,196
mobilenet_v3_small,120,14,14,120,5,5,2,2,1,1,1,1,14,14,120,3000,196
mobilenet_v3_small,120,1,1,32,1,1,0,0,1,1,1,1,1,1,32,120,1
mobilenet_v3_small,32,1,1,120,1,1,0,0,1,1,1,1,1,1,120,32,1
mobilenet_v3_small,120,14,14,48,1,1,0,0,1,1,1,1,14,14,48,120,196
mobilenet_v3_small,48,14,14,144,1,1,0,0,1,1,1,1,14,14,144,48,196
mobilenet_v3_small,144,14,14,144,5,5,2,2,1,1,1,1,14,14,144,3600,196
mobilenet_v3_small,144,1,1,40,1,1,0,0,1,1,1,1,1,1,40,144,1
mobilenet_v3_small,40,1,1,144,1,1,0,0,1,1,1,1,1,1,144,40,1
mobilenet_v3_small,144,14,14,48,1,1,0,0,1,1,1,1,14,14,48,144,196
mobilenet_v3_small,48,14,14,288,1,1,0,0,1,1,1,1,14,14,288,48,196
mobilenet_v3_small,288,14,14,288,5,5,2,2,2,2,1,1,7,7,288,7200,49
mobilenet_v3_small,288,1,1,72,1,1,0,0,1,1,1,1,1,1,72,288,1
mobilenet_v3_small,72,1,1,288,1,1,0,0,1,1,1,1,1,1,288,72,1
mobilenet_v3_small,288,7,7,96,1,1,0,0,1,1,1,1,7,7,96,288,49
mobilenet_v3_small,96,7,7,576,1,1,0,0,1,1,1,1,7,7,576,96,49
mobilenet_v3_small,576,7,7,576,5,5,2,2,1,1,1,1,7,7,576,14400,49
mobilenet_v3_small,576,1,1,144,1,1,0,0,1,1,1,1,1,1,144,576,1
mobilenet_v3_small,144,1,1,576,1,1,0,0,1,1,1,1,1,1,576,144,1
mobilenet_v3_small,576,7,7,96,1,1,0,0,1,1,1,1,7,7,96,576,49
mobilenet_v3_small,96,7,7,576,1,1,0,0,1,1,1,1,7,7,576,96,49
mobilenet_v3_small,576,7,7,576,5,5,2,2,1,1,1,1,7,7,576,14400,49
mobilenet_v3_small,576,1,1,144,1,1,0,0,1,1,1,1,1,1,144,576,1
mobilenet_v3_small,144,1,1,576,1,1,0,0,1,1,1,1,1,1,576,144,1
mobilenet_v3_small,576,7,7,96,1,1,0,0,1,1,1,1,7,7,96,576,49
mobilenet_v3_small,96,7,7,576,1,1,0,0,1,1,1,1,7,7,576,96,49
resnext50_32x4d,3,224,224,64,7,7,3,3,2,2,1,1,112,112,64,147,12544
resnext50_32x4d,64,56,56,128,1,1,0,0,1,1,1,1,56,56,128,64,3136
resnext50_32x4d,128,56,56,128,3,3,1,1,1,1,1,1,56,56,128,1152,3136
resnext50_32x4d,128,56,56,256,1,1,0,0,1,1,1,1,56,56,256,128,3136
resnext50_32x4d,64,56,56,256,1,1,0,0,1,1,1,1,56,56,256,64,3136
resnext50_32x4d,256,56,56,128,1,1,0,0,1,1,1,1,56,56,128,256,3136
resnext50_32x4d,128,56,56,128,3,3,1,1,1,1,1,1,56,56,128,1152,3136
resnext50_32x4d,128,56,56,256,1,1,0,0,1,1,1,1,56,56,256,128,3136
resnext50_32x4d,256,56,56,128,1,1,0,0,1,1,1,1,56,56,128,256,3136
resnext50_32x4d,128,56,56,128,3,3,1,1,1,1,1,1,56,56,128,1152,3136
resnext50_32x4d,128,56,56,256,1,1,0,0,1,1,1,1,56,56,256,128,3136
resnext50_32x4d,256,56,56,256,1,1,0,0,1,1,1,1,56,56,256,256,3136
resnext50_32x4d,256,56,56,256,3,3,1,1,2,2,1,1,28,28,256,2304,784
resnext50_32x4d,256,28,28,512,1,1,0,0,1,1,1,1,28,28,512,256,784
resnext50_32x4d,256,56,56,512,1,1,0,0,2,2,1,1,28,28,512,256,784
resnext50_32x4d,512,28,28,256,1,1,0,0,1,1,1,1,28,28,256,512,784
resnext50_32x4d,256,28,28,256,3,3,1,1,1,1,1,1,28,28,256,2304,784
resnext50_32x4d,256,28,28,512,1,1,0,0,1,1,1,1,28,28,512,256,784
resnext50_32x4d,512,28,28,256,1,1,0,0,1,1,1,1,28,28,256,512,784
resnext50_32x4d,256,28,28,256,3,3,1,1,1,1,1,1,28,28,256,2304,784
resnext50_32x4d,256,28,28,512,1,1,0,0,1,1,1,1,28,28,512,256,784
resnext50_32x4d,512,28,28,256,1,1,0,0,1,1,1,1,28,28,256,512,784
resnext50_32x4d,256,28,28,256,3,3,1,1,1,1,1,1,28,28,256,2304,784
resnext50_32x4d,256,28,28,512,1,1,0,0,1,1,1,1,28,28,512,256,784
resnext50_32x4d,512,28,28,512,1,1,0,0,1,1,1,1,28,28,512,512,784
resnext50_32x4d,512,28,28,512,3,3,1,1,2,2,1,1,14,14,512,4608,196
resnext50_32x4d,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
resnext50_32x4d,512,28,28,1024,1,1,0,0,2,2,1,1,14,14,1024,512,196
resnext50_32x4d,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
resnext50_32x4d,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
resnext50_32x4d,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
resnext50_32x4d,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
resnext50_32x4d,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
resnext50_32x4d,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
resnext50_32x4d,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
resnext50_32x4d,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
resnext50_32x4d,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
resnext50_32x4d,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
resnext50_32x4d,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
resnext50_32x4d,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
resnext50_32x4d,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
resnext50_32x4d,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
resnext50_32x4d,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
resnext50_32x4d,1024,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,1024,196
resnext50_32x4d,1024,14,14,1024,3,3,1,1,2,2,1,1,7,7,1024,9216,49
resnext50_32x4d,1024,7,7,2048,1,1,0,0,1,1,1,1,7,7,2048,1024,49
resnext50_32x4d,1024,14,14,2048,1,1,0,0,2,2,1,1,7,7,2048,1024,49
resnext50_32x4d,2048,7,7,1024,1,1,0,0,1,1,1,1,7,7,1024,2048,49
resnext50_32x4d,1024,7,7,1024,3,3,1,1,1,1,1,1,7,7,1024,9216,49
resnext50_32x4d,1024,7,7,2048,1,1,0,0,1,1,1,1,7,7,2048,1024,49
resnext50_32x4d,2048,7,7,1024,1,1,0,0,1,1,1,1,7,7,1024,2048,49
resnext50_32x4d,1024,7,7,1024,3,3,1,1,1,1,1,1,7,7,1024,9216,49
resnext50_32x4d,1024,7,7,2048,1,1,0,0,1,1,1,1,7,7,2048,1024,49
wide_resnet50_2,3,224,224,64,7,7,3,3,2,2,1,1,112,112,64,147,12544
wide_resnet50_2,64,56,56,128,1,1,0,0,1,1,1,1,56,56,128,64,3136
wide_resnet50_2,128,56,56,128,3,3,1,1,1,1,1,1,56,56,128,1152,3136
wide_resnet50_2,128,56,56,256,1,1,0,0,1,1,1,1,56,56,256,128,3136
wide_resnet50_2,64,56,56,256,1,1,0,0,1,1,1,1,56,56,256,64,3136
wide_resnet50_2,256,56,56,128,1,1,0,0,1,1,1,1,56,56,128,256,3136
wide_resnet50_2,128,56,56,128,3,3,1,1,1,1,1,1,56,56,128,1152,3136
wide_resnet50_2,128,56,56,256,1,1,0,0,1,1,1,1,56,56,256,128,3136
wide_resnet50_2,256,56,56,128,1,1,0,0,1,1,1,1,56,56,128,256,3136
wide_resnet50_2,128,56,56,128,3,3,1,1,1,1,1,1,56,56,128,1152,3136
wide_resnet50_2,128,56,56,256,1,1,0,0,1,1,1,1,56,56,256,128,3136
wide_resnet50_2,256,56,56,256,1,1,0,0,1,1,1,1,56,56,256,256,3136
wide_resnet50_2,256,56,56,256,3,3,1,1,2,2,1,1,28,28,256,2304,784
wide_resnet50_2,256,28,28,512,1,1,0,0,1,1,1,1,28,28,512,256,784
wide_resnet50_2,256,56,56,512,1,1,0,0,2,2,1,1,28,28,512,256,784
wide_resnet50_2,512,28,28,256,1,1,0,0,1,1,1,1,28,28,256,512,784
